Layers,1.B,1.B,1.B,1.C,1.C,1.C,1.B,1.B,1.B,1.C,1.C,1.C
Crust,Biocrust,Biocrust,Biocrust,Control,Control,Control,Biocrust,Biocrust,Biocrust,Control,Control,Control
SampleID,S.11A,S.31A,S.51A,S.12A,S.32A,S.52A,S.21A,S.41A,S.61A,S.22A,S.42A,S.62A
Bacteria|Acidobacteria|Subgroup 25ub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 25ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 2ub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 2ub forest soil bacteriumub forest soil bacteriumub forest soil bacteriumub forest soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 5AmtAmtAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 5ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 5,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 6ub Acidobacteriales bacteriumub Acidobacteriales bacteriumub Acidobacteriales bacteriumub Acidobacteriales bacterium,0,0,0,0,43,0,0,0,0,0,0,59
Bacteria|Acidobacteria|Subgroup 6,104,103,274,0,0,81,0,84,0,82,60,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|CL500-29 marine groupAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|AcidimicrobialesubAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobialesubub Actinomycetales bacteriumub Actinomycetales bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobialesubub actinobacteriumub actinobacterium,0,0,0,0,32,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobialesub,0,83,163,62,0,147,0,146,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales,0,0,0,0,0,0,0,0,0,0,0,367
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium intracellulare,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium,118,158,106,143,62,95,150,0,114,145,57,0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae|RhodococcusAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Acidothermaceae|Acidothermusub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Acidothermaceae|Acidothermus,0,0,0,0,0,0,0,0,0,0,0,0
